variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,279.918,35, 0.141, 0.004, 0.008, 279.878 +  0.002 t, 0.396
TV,K,280.524,35, 0.142, 0.004, 0.008, 280.481 +  0.002 t, 0.353
PREC,mm d$^{-1}$,2.260,35, 0.038, 0.001, 0.002, 2.253 +  0.000 t, 0.581
ELAI,m${-2}$ m${-2}$,1.240,35, 0.011, 0.000, 0.001, 1.235 +  0.000 t, 0.132
FSDS,W m$^{-2}$,196.553,35, 0.413, 0.012, 0.023, 196.708 + -0.008 t, 0.251
FLDS,W m$^{-2}$,292.393,35, 0.762, 0.022, 0.043, 292.105 +  0.015 t, 0.248
QBOT,kg/kg,0.00628,35, 5.36e-05, 1.53e-06, 3e-06, 0.00626 +  1.05e-06 t, 0.256
ASA,% reflected,29.387,35, 0.109, 0.003, 0.006, 29.467 + -0.004 t, 0.020
RNET,W m$^{-2}$,69.972,35, 0.279, 0.008, 0.016, 69.901 +  0.004 t, 0.435
FSH,W m$^{-2}$,32.103,35, 0.223, 0.006, 0.013, 32.151 + -0.003 t, 0.516
ET,W m$^{-2}$,37.044,35, 0.337, 0.010, 0.019, 36.893 +  0.008 t, 0.166
FCTR,W m$^{-2}$,17.660,35, 0.170, 0.005, 0.010, 17.609 +  0.003 t, 0.359
FGEV,W m$^{-2}$,10.886,35, 0.153, 0.004, 0.009, 10.824 +  0.003 t, 0.213
FCEV,W m$^{-2}$,8.498,35, 0.082, 0.002, 0.005, 8.459 +  0.002 t, 0.148
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.929,35, 0.022, 0.000629, 0.00123, 0.927 +  0.000107 t, 0.78
SNOWDP,m,2.255,35, 0.003, 0.000, 0.000, 2.256 + -0.000 t, 0.477
GPP,PgC y$^{-1}$,97.604,35, 1.001, 0.029, 0.056, 96.867 +  0.039 t, 0.020
NPP,PgC y$^{-1}$,39.131,35, 0.534, 0.015, 0.030, 38.729 +  0.021 t, 0.017
NEE,PgC y$^{-1}$,-0.259,35, 0.411, 0.0117, 0.023,-0.0346 + -0.0118 t, 0.091
NBP,PgC y$^{-1}$,-0.343,35, 0.41, 0.0117, 0.023,-0.559 +  0.0114 t, 0.103
NPP_NUPTAKE,gC/m^2/s,2.97e-06,35, 6.05e-08, 1.73e-09, 3.39e-09, 2.93e-06 +  1.81e-09 t, 0.0775
BTRANMN,unitless,0.579,35, 0.00216, 6.16e-05, 0.000121, 0.578 +  5.8e-05 t, 0.114
TOTECOSYSC,gC/m^2,19983.410,35, 23.329, 0.667, 1.306, 20026.912 + -2.290 t, 0.000
TOTSOMC_1m,PgC,1528.212,35, 1.602, 0.046, 0.090, 1531.222 + -0.158 t, 0.000
ALTMAX,m,31.940,35, 0.012, 0.000, 0.001, 31.924 +  0.001 t, 0.000
TWS,mm,7585.423,35, 4.881, 0.139, 0.273, 7582.854 +  0.135 t, 0.104
SOILWATER_10CM,kg/m2,28.016,35, 0.149, 0.004, 0.008, 28.037 + -0.001 t, 0.665
GRAINC_TO_FOOD,PgC y$^{-1}$,0.427,35, 0.0165, 0.000473, 0.000926, 0.421 +  0.000313 t, 0.272
FAREA_BURNED,s-1,1.76e-09,35, 5.84e-11, 1.67e-12, 3.27e-12, 1.78e-09 + -1.02e-12 t, 0.311
